Depth_cm	Year_CE	Age _YBP
5.00	1942.67	7.51
6.00	1935.34	15.01
7.00	1928.01	22.52
8.00	1920.69	30.03
9.00	1913.36	37.54
10.00	1906.03	45.04
10.75	1900.53	50.68
11.75	1893.21	58.18
12.75	1885.88	65.69
13.14	1883.02	68.62
13.75	1878.55	73.20
14.75	1871.22	80.71
15.75	1863.89	88.21
16.75	1856.56	95.72
17.75	1849.24	103.23
18.75	1841.91	110.74
19.75	1834.58	118.24
20.75	1827.25	125.75
26.00	1788.78	165.16
31.00	1752.13	202.70
35.75	1717.32	238.36
40.75	1680.68	275.90
45.75	1644.04	313.44
50.75	1607.40	350.97
55.75	1570.76	388.51
61.00	1532.28	427.93
66.00	1495.64	465.46
71.00	1459.00	503.00
76.00	1449.15	513.46
81.00	1439.31	523.92
86.00	1429.46	534.38
91.00	1419.62	544.85
96.00	1409.77	555.31
97.00	1407.80	557.40
100.00	1401.89	563.68
101.00	1399.92	565.77
106.00	1390.08	576.23
111.00	1380.23	586.69
115.00	1372.35	595.06
116.00	1370.38	597.15
121.00	1360.54	607.62
122.00	1358.57	609.71
126.00	1350.69	618.08
131.00	1340.85	628.54
135.00	1332.97	636.91
141.00	1286.91	683.89
143.00	1269.27	701.84
146.00	1242.82	728.77
150.00	1207.55	764.68
151.00	1198.73	773.66
156.00	1154.64	818.55
161.00	1110.55	863.43
166.00	1066.45	908.32
171.00	1022.36	953.20
176.00	978.27	998.09
180.00	943.00	1034.00
181.00	930.94	1046.20
186.00	870.64	1107.20
191.00	810.34	1168.20
196.00	750.04	1229.20
201.00	689.74	1290.20
206.00	629.44	1351.20
211.00	569.14	1412.20
216.00	508.84	1473.20
221.00	448.54	1534.20
226.00	388.24	1595.20
230.00	340.00	1644.00
231.00	333.65	1650.17
236.00	301.91	1681.04
241.00	270.17	1711.91
246.00	238.43	1742.78
251.00	206.70	1773.65
257.00	168.61	1810.70
261.00	143.22	1835.39
265.00	117.83	1860.09
266.00	111.48	1866.26
271.00	79.74	1897.13
276.00	48.00	1928.00
		
		
