Depth_cm	Mg/Ca	Fe/Ca	Al/Ca	dO18	d18Osw	SST
303.5	4.785	64	58	-3.15	-0.3360	28.71
307.5	4.494	52	20	-2.98	-0.3038	28.05
309.5	4.711	89	378	-3.10	-0.3203	28.55
311.5	4.851	36	41	-2.98	-0.1359	28.86
313.5	4.885	130	234			28.93
315.5				-3.17		
317.5	5.044	122	713	-3.12	-0.1899	29.27
319.5	4.917	30	61	-3.03	-0.1561	29.00
321.5	4.521	115	98	-3.04	-0.3507	28.11
323.5	4.511	63	350	-3.14	-0.4556	28.09
325.5	4.608	111	81	-2.79	-0.0589	28.31
327.5	4.709	50	4753	-3.22	-0.4412	28.54
331.5	4.618	160	66	-2.97	-0.2341	28.34
333.5	4.557	101	22	-3.16	-0.4533	28.20
341.5	4.658	43	36	-3.10	-0.3452	28.43
343.5				-3.46		
351.5	4.903	83	94			28.97
355.5				-2.91		
357.5	4.501	142	60	-3.36	-0.6804	28.07
361.5				-2.92		
365.5						
367.5	4.595	85	183	-2.88	-0.1551	28.28
373.5	4.724	129	76	-3.15	-0.3642	28.58
377.5	4.947	101	1371			29.06
379.5				-2.88		
381.5				-2.91		
						
						
						
						
